ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
hsa-miR-125a-3p,MIMAT0004602,miRNA,20,20,37.67,20,20,20
hsa-miR-125a-5p,MIMAT0000443,miRNA,535.93,454.79,450.36,400.66,280.91,417.34
hsa-miR-125b-5p,MIMAT0000423,miRNA,4816.75,4476.58,4104.26,3245.64,3395.72,3264.13
hsa-miR-1260a,MIMAT0005911,miRNA,76.05,73.66,82.91,74.42,92.64,75.77
hsa-miR-1260b,MIMAT0015041,miRNA,22.47,21.57,20,22.02,20,20.68
hsa-miR-1268a,MIMAT0005922,miRNA,20,26.46,24.18,25.33,40.93,20.99
hsa-miR-127-3p,MIMAT0000446,miRNA,245.15,234.65,225.58,227.72,130.81,199.76
hsa-miR-1276,MIMAT0005930,miRNA,20,20,20,20,20,21.97
hsa-miR-1279,MIMAT0005937,miRNA,20,20,20,31.72,20,20
hsa-miR-128-3p,MIMAT0000424,miRNA,31.58,44.4,29.31,31.09,65.03,186.93
hsa-miR-1283,MIMAT0005799,miRNA,33.27,35.65,20,20,20,20
hsa-miR-1290,MIMAT0005880,miRNA,96.89,115.38,80.99,101.89,128.09,86.87
hsa-miR-1297,MIMAT0005886,miRNA,54.66,59.02,35.56,59.02,22.66,45.9
hsa-miR-1303,MIMAT0005891,miRNA,20,20,20,20,20,25.62
hsa-miR-1304-5p,MIMAT0005892,miRNA,20,20,37,20,20,20
hsa-miR-130a-3p,MIMAT0000425,miRNA,298.61,271.99,293.73,206.02,220,208.98
hsa-miR-132-3p,MIMAT0000426,miRNA,34.32,32.68,98.02,22.7,28.72,29.11
hsa-miR-1323,MIMAT0005795,miRNA,20,20,20.14,20,20,20
hsa-miR-136-5p,MIMAT0000448,miRNA,42.58,30.82,48.66,22.21,23.64,29.21
hsa-miR-141-3p,MIMAT0000432,miRNA,20,22.83,20,20,20,20
hsa-miR-142-3p,MIMAT0000434,miRNA,20,20,88706.48,20,26.85,20
hsa-miR-143-3p,MIMAT0000435,miRNA,171.33,155.68,122.78,101.02,153.72,111.71
hsa-miR-145-5p,MIMAT0000437,miRNA,441.14,338.55,356.68,217.41,340.61,246.48
hsa-miR-146a-5p,MIMAT0000449,miRNA,77.65,103.13,74.48,53.83,46.31,107.53
hsa-miR-146b-3p,MIMAT0004766,miRNA,20,20,20.87,20,20,20
hsa-miR-147b,MIMAT0004928,miRNA,20,20,20,20,25.69,20
hsa-miR-148b-3p,MIMAT0000759,miRNA,59.86,73.05,61.32,77.07,57.9,55.56
hsa-miR-149-5p,MIMAT0000450,miRNA,45.19,33.55,22.31,22.62,25.81,30.42
hsa-miR-151a-3p,MIMAT0000757,miRNA,59.76,58.74,74.75,42.15,46.27,107.52
hsa-miR-152-3p,MIMAT0000438,miRNA,20,20,20,20,20,20.68
hsa-miR-154-5p,MIMAT0000452,miRNA,39.38,38.26,49.15,26.75,28.21,38.41
hsa-miR-155-5p,MIMAT0000646,miRNA,63.93,59.88,67.3,163924.72,45.95,142.12
hsa-miR-15a-5p,MIMAT0000068,miRNA,73.66,67.33,85.38,63.82,54.46,122.36
hsa-miR-15b-5p,MIMAT0000417,miRNA,269.14,281.59,241.06,172.4,166.4,187.51
hsa-miR-16-5p,MIMAT0000069,miRNA,284.66,259.49,240.24,162.46,237.67,169.15
hsa-miR-181a-5p,MIMAT0000256,miRNA,179.19,248.22,317.19,229.7,229.1,220.16
hsa-miR-181b-5p+hsa-miR-181d-5p,MIMAT0000257,miRNA,29.82,30.06,32.55,20.43,23.57,26.9
hsa-miR-184,MIMAT0000454,miRNA,20,20,20,20,20,33.31
hsa-miR-185-5p,MIMAT0000455,miRNA,28.83,20.92,24.31,21.79,28.35,21.29
hsa-miR-186-5p,MIMAT0000456,miRNA,26.08,27.83,25.54,25.33,21.66,20
hsa-miR-188-3p,MIMAT0004613,miRNA,20,20,20,20,41.96,20
hsa-miR-18a-5p,MIMAT0000072,miRNA,20,20.66,20,21.36,840.76,20
hsa-miR-18b-5p,MIMAT0001412,miRNA,20,66.71,22.74,20,58912.68,20
hsa-miR-1908-3p,MIMAT0026916,miRNA,20,20,20,20,20,23.18
hsa-miR-191-5p,MIMAT0000440,miRNA,327.72,292.62,361.25,290.71,211.87,247.54
hsa-miR-1915-3p,MIMAT0007892,miRNA,20,20,20,21.66,22.46,20
hsa-miR-193a-3p,MIMAT0000459,miRNA,20,20,20,22.01,20,20
hsa-miR-194-5p,MIMAT0000460,miRNA,20,20,20,20,20,54.59
hsa-miR-197-3p,MIMAT0000227,miRNA,22.84,21.35,21.78,22.21,31.54,22.67
hsa-miR-199a-3p+hsa-miR-199b-3p,MIMAT0000232,miRNA,871.98,785.84,929,749.82,526.93,752.43
hsa-miR-199a-5p,MIMAT0000231,miRNA,253.59,218.45,244.7,184.74,177.54,173.51
hsa-miR-199b-5p,MIMAT0000263,miRNA,32.2,34.53,32.25,20.43,20.36,20.23
hsa-miR-19a-3p,MIMAT0000073,miRNA,22.19,20.9,24.32,20,26.51,20
hsa-miR-19b-3p,MIMAT0000074,miRNA,24.19,21.56,27.83,21.13,27.2,21.61
hsa-miR-200b-3p,MIMAT0000318,miRNA,20,20,20,20,52.07,20
hsa-miR-208a-3p,MIMAT0000241,miRNA,22.03,20,20,21.66,20,20
hsa-miR-20a-5p+hsa-miR-20b-5p,MIMAT0000075,miRNA,67.21,70.29,46.42,41.17,118.62,67.9
hsa-miR-21-5p,MIMAT0000076,miRNA,206.06,191.47,199.12,124.17,132.06,566.47
hsa-miR-2113,MIMAT0009206,miRNA,20,20,20,20,22.33,20
hsa-miR-2116-5p,MIMAT0011160,miRNA,33.74,37.38,31.62,36.88,53.03,30.65
hsa-miR-2117,MIMAT0011162,miRNA,21.51,24.4,28.64,22.9,30.64,26.8
hsa-miR-214-3p,MIMAT0000271,miRNA,61.11,64.5,62.36,48.79,52.6,48.23
hsa-miR-216b-5p,MIMAT0004959,miRNA,28.32,33.08,25.13,28.95,20,25.7
hsa-miR-217,MIMAT0000274,miRNA,20,20,30.64,20,20,20
hsa-miR-218-5p,MIMAT0000275,miRNA,20,20,20,20,20,83.71
hsa-miR-219a-2-3p,MIMAT0004675,miRNA,29.31,32.45,30.94,35.93,33.34,32.47
hsa-miR-219b-3p,MIMAT0019748,miRNA,21.26,22.27,20,20,20,20
hsa-miR-22-3p,MIMAT0000077,miRNA,233.43,224.94,212,154.87,175.12,183.81
hsa-miR-221-3p,MIMAT0000278,miRNA,885.47,697.73,553.31,384.85,583.24,459.22
hsa-miR-222-3p,MIMAT0000279,miRNA,86.66,140.15,150.62,100.15,122.48,108.57
hsa-miR-23a-3p,MIMAT0000078,miRNA,1273.96,1456.8,1871.07,1253.18,1345.78,1479.61
hsa-miR-23b-3p,MIMAT0000418,miRNA,98.23,102.86,102.81,87.42,90.75,89.43
hsa-miR-23c,MIMAT0018000,miRNA,20,20,20,50.12,20,20
hsa-miR-24-3p,MIMAT0000080,miRNA,501.12,437.09,388.75,260.23,569.2,322.06
hsa-miR-25-3p,MIMAT0000081,miRNA,110.61,125.36,150.37,114.33,81.7,106
hsa-miR-2682-5p,MIMAT0013517,miRNA,20,20,20,20,20,20.99
hsa-miR-26a-5p,MIMAT0000082,miRNA,436.11,332.05,326.51,232.25,455.07,283.47
hsa-miR-26b-5p,MIMAT0000083,miRNA,27.66,28.63,20.87,23.64,23.45,22.5
hsa-miR-27a-3p,MIMAT0000084,miRNA,23.98,20.42,20,21.13,21.65,20
hsa-miR-27b-3p,MIMAT0000419,miRNA,180.51,137.44,137.44,93.53,114.14,108.13
hsa-miR-28-5p,MIMAT0000085,miRNA,56.6,62.37,71.22,63.37,45.91,60.21
hsa-miR-296-5p,MIMAT0000690,miRNA,27.09,27.79,31.18,20.18,24.39,20
hsa-miR-299-3p,MIMAT0000687,miRNA,20,20.42,20,20,20,20
hsa-miR-299-5p,MIMAT0002890,miRNA,56.9,58.05,68.16,49.2,50.29,52.93
hsa-miR-29a-3p,MIMAT0000086,miRNA,589.18,564.4,474.53,371.24,336.98,398.41
hsa-miR-29b-3p,MIMAT0000100,miRNA,813.86,773.74,777.39,514.88,529.97,625.98
hsa-miR-29c-3p,MIMAT0000681,miRNA,36.69,34.33,22.62,21.13,31.29,22.27
hsa-miR-300,MIMAT0004903,miRNA,20,20,20,20,20,45.46
hsa-miR-301a-3p,MIMAT0000688,miRNA,20,20,30.2,20.43,20,20
hsa-miR-302a-5p,MIMAT0000683,miRNA,20,23.62,20,22.7,20,20
hsa-miR-302b-3p,MIMAT0000715,miRNA,57.9,65.04,36.79,54.4,24.75,50.94
hsa-miR-302d-3p,MIMAT0000718,miRNA,20.56,20,29.44,20,20,25.62
hsa-miR-3065-5p,MIMAT0015066,miRNA,27.42,31.78,32.62,20,27.51,27.19
hsa-miR-30a-3p,MIMAT0000088,miRNA,20,20,20,20,20,26.4
hsa-miR-30a-5p,MIMAT0000087,miRNA,20,20.41,20,26.11,20,20
hsa-miR-30b-5p,MIMAT0000420,miRNA,41.89,40.85,39.32,31.37,49.22,39.15
hsa-miR-30c-5p,MIMAT0000244,miRNA,21.67,29.81,23.27,20.9,36.13,22.14
hsa-miR-30d-5p,MIMAT0000245,miRNA,20,27.79,30.05,20.18,24.02,20
hsa-miR-30e-5p,MIMAT0000692,miRNA,41.59,44.68,31.71,57.92,50.69,35.65
hsa-miR-31-5p,MIMAT0000089,miRNA,20,20,20,20,20,26.15
hsa-miR-3136-5p,MIMAT0015003,miRNA,25.32,24.59,29.61,37.66,49.91,26.8
hsa-miR-3144-3p,MIMAT0015015,miRNA,20,20,20.14,20,20,20
hsa-miR-3144-5p,MIMAT0015014,miRNA,20,23.1,22.89,30.86,30.4,20
hsa-miR-3150b-3p,MIMAT0018194,miRNA,20,20,20,20,20,21.86
hsa-miR-3161,MIMAT0015035,miRNA,26.49,28.55,22.62,30.78,26.21,29.69
hsa-miR-3179,MIMAT0015056,miRNA,20,20,20,23.86,20,20
hsa-miR-3182,MIMAT0015062,miRNA,20,20,20,22.21,20,20
hsa-miR-3202,MIMAT0015089,miRNA,20,20,20,20,20,20.65
hsa-miR-320e,MIMAT0015072,miRNA,20,20.41,20,24.45,20,20
hsa-miR-323a-3p,MIMAT0000755,miRNA,57.41,73.85,61.12,66.96,42.47,65.86
hsa-miR-324-3p,MIMAT0000762,miRNA,24.64,24.17,20.39,20,21.32,20
hsa-miR-324-5p,MIMAT0000761,miRNA,38.1,42.14,36.86,26.11,30.85,28.89
hsa-miR-329-3p,MIMAT0001629,miRNA,20,20,20,20,20,141.61
hsa-miR-331-3p,MIMAT0000760,miRNA,36.29,34,26.61,28.53,34.94,23.29
hsa-miR-337-3p,MIMAT0000754,miRNA,103.06,92.59,86.89,2171.32,82.81,57.69
hsa-miR-337-5p,MIMAT0004695,miRNA,84.45,75.64,74.53,64.95,44.7,75.3
hsa-miR-339-5p,MIMAT0000764,miRNA,20,20,20,30.81,20,20
hsa-miR-34a-5p,MIMAT0000255,miRNA,150.83,120.14,168.7,126.16,95.44,109.26
hsa-miR-34c-3p,MIMAT0004677,miRNA,20,20,20,20,20,54.19
hsa-miR-3605-3p,MIMAT0017982,miRNA,20,21.98,20,20,20,20
hsa-miR-361-5p,MIMAT0000703,miRNA,77.87,66.89,70.61,59.67,55.68,60.66
hsa-miR-3613-3p,MIMAT0017991,miRNA,20,20,20,28.72,20,20
hsa-miR-363-3p,MIMAT0000707,miRNA,20,30.14,20.4,43.62,28.44,21.29
hsa-miR-363-5p,MIMAT0003385,miRNA,20,20,20,20,20,32.75
hsa-miR-365a-3p+hsa-miR-365b-3p,MIMAT0000710,miRNA,101.52,89.33,76.9,40.21,94.8,71.89
hsa-miR-3690,MIMAT0018119,miRNA,20,20,20,20,20,22.67
hsa-miR-370-3p,MIMAT0000722,miRNA,44.07,40.7,25.2,25.72,27.51,30.92
hsa-miR-371b-5p,MIMAT0019892,miRNA,20,20,20,26.3,20,81.58
hsa-miR-372-3p,MIMAT0000724,miRNA,20,20,20,30.59,20,20
hsa-miR-374a-5p,MIMAT0000727,miRNA,91.89,96.26,93.37,89.86,51.49,75.42
hsa-miR-374b-5p,MIMAT0004955,miRNA,30.29,32.58,23.77,24.66,29.44,44.58
hsa-miR-376a-3p,MIMAT0000729,miRNA,195.09,185.68,171.07,141.54,145.1,143.84
hsa-miR-376c-3p,MIMAT0000720,miRNA,116.73,93.23,94.39,84,83.24,74.17
hsa-miR-377-3p,MIMAT0000730,miRNA,20,20,20,20.67,20,20
hsa-miR-378e,MIMAT0018927,miRNA,20,23.38,21.78,22.89,23.61,20
hsa-miR-378f,MIMAT0018932,miRNA,20,22.56,20,20,20,20
hsa-miR-379-5p,MIMAT0000733,miRNA,92.7,75.39,98.26,86.98,50.63,83.45
hsa-miR-381-3p,MIMAT0000736,miRNA,25.67,28.78,20.14,20.9,20,31.46
hsa-miR-382-5p,MIMAT0000737,miRNA,167,167.95,186.94,176.64,148.58,157.8
hsa-miR-3928-3p,MIMAT0018205,miRNA,20,20,20,22.02,20,20
hsa-miR-409-3p,MIMAT0001639,miRNA,173.5,162.52,123.86,123.65,80.9,146.2
hsa-miR-409-5p,MIMAT0001638,miRNA,20,26.34,20,20,20,20
hsa-miR-410-3p,MIMAT0002171,miRNA,21.74,20.17,20,20.18,23.64,20
hsa-miR-411-5p,MIMAT0003329,miRNA,24.59,28.13,20.14,36.43,20,20.68
hsa-miR-422a,MIMAT0001339,miRNA,23.61,29.71,20.87,24.78,33.17,20
hsa-miR-423-3p,MIMAT0001340,miRNA,43.53,43.89,46.62,27.64,36.33,27.26
hsa-miR-423-5p,MIMAT0004748,miRNA,43.6,44.84,41.97,28.65,23.61,34.98
hsa-miR-424-5p,MIMAT0001341,miRNA,37.57,43.84,47.19,43.31,24.76,32.53
hsa-miR-431-5p,MIMAT0001625,miRNA,76.43,76.55,52.51,34.98,41.92,66.71
hsa-miR-432-5p,MIMAT0002814,miRNA,93.59,83.27,68.59,68.54,46.8,71.14
hsa-miR-433-3p,MIMAT0001627,miRNA,92.66,90.59,77.8,74.8,45.37,72.23
hsa-miR-433-5p,MIMAT0026554,miRNA,20,20,20,22.84,20,20
hsa-miR-4435,MIMAT0018951,miRNA,20,20,20,20,20,184.95
hsa-miR-4443,MIMAT0018961,miRNA,37.34,61.14,66.11,79.25,45.52,55.67
hsa-miR-4454+hsa-miR-7975,MIMAT0018976,miRNA,637.78,1126.49,1164.93,737.76,630.25,635.01
hsa-miR-4455,MIMAT0018977,miRNA,44.98,60.41,44.26,48.74,66.6,37.51
hsa-miR-448,MIMAT0001532,miRNA,22.18,23.62,20,20,20,20
hsa-miR-4488,MIMAT0019022,miRNA,20,21.98,31.27,22.7,45.05,20
hsa-miR-449c-5p,MIMAT0010251,miRNA,20,20,20,46.03,20,20
hsa-miR-450a-5p,MIMAT0001545,miRNA,64.4,68.66,81.52,61.74,49.99,55.11
hsa-miR-4531,MIMAT0019070,miRNA,47.83,56.62,44.97,54.93,54.6,41.03
hsa-miR-4532,MIMAT0019071,miRNA,20,20.74,24.21,22.02,27.7,20
hsa-miR-4536-5p,MIMAT0019078,miRNA,42.3,46.34,34.98,44.92,58.62,30.78
hsa-miR-454-3p,MIMAT0003885,miRNA,20,20,20,32.75,20,20
hsa-miR-455-3p,MIMAT0004784,miRNA,47.16,31.06,40.92,27.94,61.36,29.97
hsa-miR-455-5p,MIMAT0003150,miRNA,20,21.69,20,20,22.05,20
hsa-miR-483-3p,MIMAT0002173,miRNA,48.37,47.84,33.91,36.03,27.3,43.23
hsa-miR-484,MIMAT0002174,miRNA,26.68,24.68,24.48,20.43,27.88,20.68
hsa-miR-485-3p,MIMAT0002176,miRNA,92.26,96.97,67.41,48.97,64.01,102.85
hsa-miR-487a-3p,MIMAT0002178,miRNA,39.09,38.26,21.64,24.9,27.84,33.68
hsa-miR-487b-3p,MIMAT0003180,miRNA,72.4,58.43,51.14,32.14,44.8,51.22
hsa-miR-490-3p,MIMAT0002806,miRNA,20.16,20.66,20,20,20,20
hsa-miR-490-5p,MIMAT0004764,miRNA,20,20,20,28.99,20,20
hsa-miR-491-3p,MIMAT0004765,miRNA,20,20,20,42.04,20,20
hsa-miR-492,MIMAT0002812,miRNA,20,20,20,20,20,30.93
hsa-miR-493-3p,MIMAT0003161,miRNA,26.41,20.74,20,20,20.36,39.64
hsa-miR-494-3p,MIMAT0002816,miRNA,201.89,114.05,38.82,76.73,74.38,88.26
hsa-miR-495-3p,MIMAT0002817,miRNA,91.12,79.17,76.5,85.77,49.74,60.22
hsa-miR-498,MIMAT0002824,miRNA,20.24,21.69,20.91,20,20,20
hsa-miR-499a-3p,MIMAT0004772,miRNA,25.61,33.94,24.99,30.06,23.29,22.6
hsa-miR-499b-3p,MIMAT0019898,miRNA,20,20.74,20,20,20,20
hsa-miR-5001-3p,MIMAT0021022,miRNA,20,20,20,20,20,21.43
hsa-miR-500a-5p+hsa-miR-501-5p,MIMAT0004773,miRNA,20,20,20,20,20,22.8
hsa-miR-502-5p,MIMAT0002873,miRNA,22.47,22.61,23.02,22.39,38.21,20
hsa-miR-503-3p,MIMAT0022925,miRNA,20,20,20,20.67,20,20
hsa-miR-503-5p,MIMAT0002874,miRNA,50.36,48.42,46.71,41.26,22.46,35.58
hsa-miR-504-5p,MIMAT0002875,miRNA,20,20,20,20,20.97,33.6
hsa-miR-505-3p,MIMAT0002876,miRNA,20,20,27.33,20,21.65,20
hsa-miR-508-5p,MIMAT0004778,miRNA,20,20,20.14,20,20,20
hsa-miR-513a-3p,MIMAT0004777,miRNA,20,20,20,20,20,22.67
hsa-miR-515-3p,MIMAT0002827,miRNA,20,20,20,20,20,23
hsa-miR-516b-5p,MIMAT0002859,miRNA,20,20,20,20,20,408.88
hsa-miR-518b,MIMAT0002844,miRNA,20,20,20,20,20,25.62
hsa-miR-518f-3p,MIMAT0002842,miRNA,20,20,50.47,20,20,20
hsa-miR-5196-3p+hsa-miR-6732-3p,MIMAT0021129,miRNA,49.61,48.29,56.9,51.24,87.25,43.66
hsa-miR-5196-5p,MIMAT0021128,miRNA,20,20,22.99,20,20,20
hsa-miR-519b-5p+hsa-miR-519c-5p+hsa-miR-523-5p+hsa-miR-518e-5p+hsa-miR-522-5p+hsa-miR-519a-5p,MIMAT0005454,miRNA,78.56,87.57,54.5,62,54.16,60.52
hsa-miR-519d-3p,MIMAT0002853,miRNA,25.28,25.28,20,22.36,20,20.23
hsa-miR-520a-5p,MIMAT0002833,miRNA,20,20,20,38.22,24.63,20.03
hsa-miR-520d-3p,MIMAT0002856,miRNA,42.4,59.09,58.53,53.95,72.79,32.93
hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,MIMAT0002855,miRNA,20,21.07,20,20,20,20
hsa-miR-520e,MIMAT0002825,miRNA,27.61,24.57,24.13,22.7,20,22.15
hsa-miR-520f-3p,MIMAT0002830,miRNA,20,20,20,20,21.23,159.19
hsa-miR-520h,MIMAT0002867,miRNA,20,21.07,20,20,26.53,20
hsa-miR-521,MIMAT0002854,miRNA,20,20,20,20,26.81,20
hsa-miR-522-3p,MIMAT0002868,miRNA,59.25,54.23,28.93,42.38,24.22,37.54
hsa-miR-526a+hsa-miR-518c-5p+hsa-miR-518d-5p,MIMAT0002845,miRNA,20,20.41,20,20,20,20
hsa-miR-539-3p,MIMAT0022705,miRNA,20,20,20,20,20,23.63
hsa-miR-542-5p,MIMAT0003340,miRNA,21.26,23.39,41.24,23.2,40.71,21.29
hsa-miR-543,MIMAT0004954,miRNA,127.18,111.87,91.71,95.75,54.79,87.3
hsa-miR-544a,MIMAT0003164,miRNA,20,21.07,20,20,20,20
hsa-miR-548a-3p,MIMAT0003251,miRNA,25.61,24.87,20,20,20,21.8
hsa-miR-548a-5p,MIMAT0004803,miRNA,57.53,63.87,30.59,45.05,41.45,37.91
hsa-miR-548aa+hsa-miR-548t-3p,MIMAT0018447,miRNA,84.2,97.15,81.48,87.46,177.48,71.41
hsa-miR-548ah-5p,MIMAT0018972,miRNA,32.44,35.57,25.75,29.79,20.97,24.56
hsa-miR-548ai+hsa-miR-570-5p,MIMAT0018989,miRNA,86.86,99.95,73.87,77.65,83.13,65.93
hsa-miR-548ar-5p,MIMAT0022265,miRNA,121.84,125.49,65.07,89.72,46.21,87.18
